                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9905,                  3.865,                  3.929,                      0,                      0,                      0,                      0,                  2.807,                 4.8041,                 4.2434,             0.00033038,             0.00033038,             0.00033038
                      2,                 2.5355,                  3.045,                  3.065,                0.43219,                0.43205,                 0.3691,                0.15481,                 1.9693,                 2.5161,                 2.7157,             0.00065715,             0.00065715,             0.00065715
                      3,                 2.1539,                 2.6564,                 2.6964,                0.55158,                0.59924,                0.58678,                0.24547,                 1.8599,                 2.2243,                 2.3989,             0.00097731,             0.00097731,             0.00097731
                      4,                 1.9795,                 2.3286,                  2.494,                0.66772,                0.71027,                0.78488,                0.34654,                 1.9525,                 1.8841,                 2.3339,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.8793,                 2.1631,                 2.3883,                0.72287,                0.74828,                0.80366,                0.42825,                 1.4803,                 1.6437,                 2.1418,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8223,                 2.0444,                 2.3262,                0.65126,                0.85804,                0.83053,                0.53208,                 1.3462,                 1.4693,                 1.9228,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7774,                 1.9587,                 2.2798,                0.72937,                0.77414,                0.83399,                0.54492,                 1.3305,                 1.5035,                 1.9473,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7369,                 1.8249,                 2.2276,                0.76603,                0.83074,                0.89427,                0.55992,                 1.3018,                 1.2347,                 1.8805,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6809,                 1.7439,                 2.1752,                0.77906,                0.84396,                0.88091,                0.57918,                 1.3418,                  1.296,                 1.8631,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6488,                 1.6881,                 2.1461,                 0.7755,                0.92447,                0.89414,                0.60595,                 1.1335,                 1.1518,                 1.6989,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6245,                 1.6149,                  2.101,                 0.9161,                0.89591,                0.93176,                 0.6554,                 1.1597,                0.96492,                 1.6422,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6014,                 1.5602,                 2.0841,                0.87923,                0.89066,                 0.9174,                0.60988,                 1.2114,                 1.0904,                 1.7194,               0.000901,               0.000901,               0.000901
                     13,                 1.5897,                 1.5126,                 2.0485,                0.85532,                 0.8924,                0.93018,                0.65269,                  1.083,                0.98117,                 1.6083,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5586,                 1.4356,                 2.0183,                0.87599,                0.91929,                0.92987,                0.61145,                  1.233,                0.97507,                 1.7356,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5754,                 1.4183,                 2.0217,                  0.938,                0.92281,                0.95335,                0.67839,                 1.1791,                0.81171,                 1.6065,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5484,                 1.3992,                 1.9906,                0.90802,                0.92303,                0.93548,                0.66004,                 1.1037,                0.84994,                 1.6128,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5277,                 1.3494,                 1.9682,                0.91261,                0.93309,                0.95111,                0.67725,                 1.1317,                0.77031,                 1.5407,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5028,                 1.3337,                 1.9563,                0.92482,                0.91904,                0.93511,                0.63732,                 1.1389,                0.80049,                 1.6556,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4886,                 1.3032,                  1.939,                0.90658,                0.93108,                0.94519,                0.67454,                 1.1083,                0.76602,                 1.5842,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4781,                  1.287,                 1.9294,                0.88482,                0.95561,                0.94501,                0.68688,                  1.044,                0.72693,                 1.5117,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4845,                 1.2721,                 1.9252,                0.93997,                0.94773,                0.94788,                0.68546,                 1.0143,                0.70107,                 1.4714,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4483,                 1.2283,                 1.8847,                0.92388,                0.93241,                0.94594,                0.66188,                 1.1044,                 0.7363,                 1.5921,               0.000802,               0.000802,               0.000802
                     23,                 1.4545,                 1.2197,                 1.8903,                0.92996,                0.95266,                0.95423,                 0.6982,                 1.0618,                 0.6748,                 1.4711,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4486,                 1.1991,                 1.8816,                0.94662,                0.94045,                0.94926,                0.65561,                 1.0915,                0.69545,                 1.5352,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4202,                 1.1933,                 1.8552,                0.93974,                0.95307,                 0.9613,                 0.7051,                 1.0254,                 0.6312,                 1.4322,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4362,                 1.1968,                 1.8773,                0.95491,                0.94711,                0.95513,                0.70721,                 1.0355,                0.64404,                 1.4398,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4181,                  1.157,                 1.8497,                0.95237,                0.96223,                0.96214,                0.71556,                 1.0196,                0.62046,                 1.4184,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.3852,                  1.129,                 1.8162,                0.93858,                0.93471,                0.95365,                0.70926,                 1.0361,                0.61993,                 1.4473,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.3687,                 1.1279,                 1.8005,                0.92904,                0.95801,                0.95448,                 0.7173,                 1.0037,                0.62498,                 1.4136,              0.0007327,              0.0007327,              0.0007327
